id,age,Sex,Occupation,Field,Working Hours,Package,Job Type,Company Type,Marital Status,Location,Cerifications,Education_level,Bonus,Allowances,OverTime Pay,Salary Per Month
8084,28,Female,Fresher,Digital marketing,9 Hr,8 LPA,Hybrid,Product-based Company,Married,City,Lean Six Sigma,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,123000 Rs
8085,24,Female,Experienced,Digital marketing,10 Hr,8 LPA,Full-Time,Startup (early-stage),Married,City,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Multiple Allowances,₹100/hour,139000 Rs
8086,34,Female,Experienced,Finance,4 Hr,30 LPA,Hybrid,Consultancy Firm,Married,City,Oracle Certified Java Programmer,Diploma,"₹20,000 - ₹50,000",Medical Allowance,₹100/hour,59000 Rs
8087,31,Female,Experienced,IT,3 Hr,26 LPA,Remote,Mid-sized Company,Single,Metro,Oracle Certified Java Programmer,High School,No Bonus,Internet Allowance,No Overtime,31000 Rs
8088,41,Female,Intermediate,Finance,6 Hr,26 LPA,Hybrid,Consultancy Firm,Single,Metro,Lean Six Sigma,PhD,"₹20,000 - ₹50,000",Company Car,₹100/hour,27000 Rs
8089,37,Female,Working professional,Digital marketing,5 Hr,18 LPA,Hybrid,Freelancing / Self-employed,Married,Metro,Cisco CCNA,Professional Certification,"₹5,000 - ₹20,000",Internet Allowance,₹300/hour,109000 Rs
8090,54,Male,Fresher,IT,7 Hr,18 LPA,Hybrid,Outsourcing / Service-based Company,Single,City,Oracle Certified Java Programmer,Bachelor's Degree,"₹5,000 - ₹20,000",None,₹200/hour,149000 Rs
8091,48,Female,Experienced,Finance,8 Hr,29 LPA,Remote,Government Organization,Divorced,Rural,Google Cloud Professional Engineer,High School,"₹5,000 - ₹20,000",Multiple Allowances,₹300/hour,91000 Rs
8092,60,Female,Experienced,IT,9 Hr,7 LPA,Full-Time,Small Business / Local Firm,Single,City,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,31000 Rs
8093,55,Female,Working professional,CA,3 Hr,16 LPA,Hybrid,Consultancy Firm,Divorced,City,PMP (Project Management Professional),Professional Certification,"₹5,000 - ₹20,000",Housing Allowance,₹200/hour,117000 Rs
8094,40,Female,Fresher,Finance,1 Hr,8 LPA,Hybrid,Product-based Company,Divorced,Rural,PMP (Project Management Professional),Professional Certification,"₹20,000 - ₹50,000",Company Car,Fixed Monthly Overtime Bonus,107000 Rs
8095,29,Male,Experienced,CA,6 Hr,9 LPA,Hybrid,Startup (early-stage),Divorced,Rural,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",Medical Allowance,No Overtime,119000 Rs
8096,53,Female,Fresher,CA,6 Hr,25 LPA,Remote,Product-based Company,Divorced,Metro,PMP (Project Management Professional),PhD,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,55000 Rs
8097,51,Male,Fresher,Digital marketing,9 Hr,5 LPA,Hybrid,Big MNC (Multinational Corporation),Married,City,Lean Six Sigma,Master's Degree,No Bonus,None,₹100/hour,143000 Rs
8098,48,Male,Intermediate,Digital marketing,8 Hr,24 LPA,Hybrid,Small Business / Local Firm,Divorced,Rural,Oracle Certified Java Programmer,PhD,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,43000 Rs
8099,43,Male,Working professional,Finance,4 Hr,16 LPA,Remote,Contract / Temporary Employment,Single,Rural,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",None,₹200/hour,131000 Rs
8100,44,Male,Fresher,CA,5 Hr,27 LPA,Full-Time,Mid-sized Company,Single,Rural,Oracle Certified Java Programmer,Master's Degree,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,121000 Rs
8101,30,Female,Intermediate,Digital marketing,5 Hr,19 LPA,Hybrid,Outsourcing / Service-based Company,Divorced,Metro,Cisco CCNA,Diploma,"₹5,000 - ₹20,000",None,No Overtime,71000 Rs
8102,66,Female,Working professional,Digital marketing,7 Hr,30 LPA,Full-Time,Mid-sized Company,Single,Rural,AWS Certified Solutions Architect,Diploma,"₹5,000 - ₹20,000",Company Car,₹200/hour,149000 Rs
8103,20,Female,Fresher,Digital marketing,4 Hr,10 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,City,Lean Six Sigma,Bachelor's Degree,"₹5,000 - ₹20,000",Internet Allowance,No Overtime,105000 Rs
8104,39,Female,Experienced,Digital marketing,9 Hr,16 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,Travel Allowance,Compensatory Off (No extra pay),31000 Rs
8105,44,Female,Working professional,Finance,2 Hr,6 LPA,Hybrid,Government Organization,Single,Metro,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",Travel Allowance,No Overtime,59000 Rs
8106,50,Male,Intermediate,Digital marketing,8 Hr,9 LPA,Hybrid,Large Enterprise,Divorced,City,CompTIA Security+,Bachelor's Degree,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,113000 Rs
8107,56,Female,Intermediate,CA,7 Hr,29 LPA,Remote,Startup (early-stage),Married,Rural,Microsoft Azure Fundamentals,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,₹100/hour,81000 Rs
8108,58,Female,Experienced,Digital marketing,10 Hr,18 LPA,Remote,Contract / Temporary Employment,Married,Metro,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Housing Allowance,Fixed Monthly Overtime Bonus,141000 Rs
8109,24,Female,Fresher,CA,8 Hr,21 LPA,Full-Time,Startup (early-stage),Divorced,Metro,Certified Data Scientist,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,₹300/hour,43000 Rs
8110,58,Female,Working professional,Digital marketing,8 Hr,14 LPA,Full-Time,Consultancy Firm,Married,City,Lean Six Sigma,Professional Certification,No Bonus,Company Car,Fixed Monthly Overtime Bonus,101000 Rs
8111,22,Female,Working professional,CA,5 Hr,12 LPA,Full-Time,Government Organization,Married,City,Lean Six Sigma,Diploma,"₹5,000 - ₹20,000",Company Car,₹200/hour,115000 Rs
8112,37,Male,Fresher,Digital marketing,5 Hr,17 LPA,Full-Time,Outsourcing / Service-based Company,Divorced,Metro,Lean Six Sigma,Professional Certification,"₹5,000 - ₹20,000",Multiple Allowances,Compensatory Off (No extra pay),93000 Rs
8113,51,Female,Intermediate,Digital marketing,1 Hr,6 LPA,Full-Time,Small Business / Local Firm,Divorced,City,CFA (Chartered Financial Analyst),Diploma,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,121000 Rs
8114,45,Female,Fresher,Digital marketing,4 Hr,7 LPA,Full-Time,Product-based Company,Married,Rural,CFA (Chartered Financial Analyst),Professional Certification,"₹5,000 - ₹20,000",Company Car,₹100/hour,91000 Rs
8115,69,Female,Intermediate,CA,4 Hr,19 LPA,Remote,Big MNC (Multinational Corporation),Single,Rural,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Medical Allowance,No Overtime,45000 Rs
8116,59,Male,Intermediate,Finance,2 Hr,17 LPA,Remote,Non-Profit / NGO,Single,Rural,Cisco CCNA,Master's Degree,"₹20,000 - ₹50,000",Housing Allowance,Fixed Monthly Overtime Bonus,133000 Rs
8117,27,Male,Experienced,IT,9 Hr,16 LPA,Remote,Government Organization,Single,Rural,Lean Six Sigma,PhD,"₹20,000 - ₹50,000",Internet Allowance,₹200/hour,91000 Rs
8118,35,Male,Working professional,IT,2 Hr,25 LPA,Remote,Freelancing / Self-employed,Married,City,CompTIA Security+,Diploma,"₹5,000 - ₹20,000",Travel Allowance,No Overtime,37000 Rs
8119,54,Female,Experienced,Digital marketing,9 Hr,14 LPA,Full-Time,Scale-up (growing startup),Single,Rural,Certified Data Scientist,Bachelor's Degree,No Bonus,Medical Allowance,No Overtime,125000 Rs
8120,68,Male,Experienced,IT,6 Hr,13 LPA,Full-Time,Outsourcing / Service-based Company,Married,City,AWS Certified Solutions Architect,High School,No Bonus,Company Car,Compensatory Off (No extra pay),105000 Rs
8121,20,Male,Fresher,CA,2 Hr,14 LPA,Hybrid,Outsourcing / Service-based Company,Single,City,Certified Data Scientist,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,57000 Rs
8122,35,Male,Intermediate,Digital marketing,3 Hr,25 LPA,Full-Time,Small Business / Local Firm,Married,Metro,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Housing Allowance,No Overtime,135000 Rs
8123,21,Male,Fresher,Finance,6 Hr,28 LPA,Hybrid,Scale-up (growing startup),Divorced,Metro,Cisco CCNA,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,₹100/hour,41000 Rs
8124,52,Female,Working professional,Digital marketing,5 Hr,23 LPA,Hybrid,Freelancing / Self-employed,Single,Metro,CompTIA Security+,PhD,"₹5,000 - ₹20,000",Multiple Allowances,No Overtime,43000 Rs
8125,59,Male,Intermediate,Digital marketing,6 Hr,25 LPA,Full-Time,Contract / Temporary Employment,Divorced,City,CFA (Chartered Financial Analyst),Master's Degree,No Bonus,Medical Allowance,₹300/hour,107000 Rs
8126,42,Male,Fresher,CA,10 Hr,12 LPA,Hybrid,Outsourcing / Service-based Company,Divorced,City,Lean Six Sigma,PhD,No Bonus,Medical Allowance,₹200/hour,141000 Rs
8127,39,Male,Experienced,Digital marketing,7 Hr,10 LPA,Hybrid,Consultancy Firm,Single,City,Microsoft Azure Fundamentals,High School,"₹5,000 - ₹20,000",Multiple Allowances,Compensatory Off (No extra pay),59000 Rs
8128,56,Male,Working professional,Finance,9 Hr,7 LPA,Remote,Freelancing / Self-employed,Married,Metro,CompTIA Security+,PhD,"₹5,000 - ₹20,000",Internet Allowance,₹300/hour,63000 Rs
8129,67,Male,Experienced,CA,7 Hr,13 LPA,Remote,Consultancy Firm,Divorced,Metro,Cisco CCNA,Diploma,No Bonus,None,₹200/hour,135000 Rs
8130,24,Female,Fresher,IT,7 Hr,26 LPA,Remote,Mid-sized Company,Single,City,Cisco CCNA,PhD,No Bonus,Medical Allowance,₹100/hour,29000 Rs
8131,27,Female,Fresher,CA,4 Hr,19 LPA,Full-Time,Consultancy Firm,Single,Metro,Google Cloud Professional Engineer,Master's Degree,No Bonus,Company Car,Compensatory Off (No extra pay),63000 Rs
8132,57,Male,Intermediate,Finance,1 Hr,23 LPA,Full-Time,Freelancing / Self-employed,Divorced,Rural,Lean Six Sigma,Bachelor's Degree,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,103000 Rs
8133,57,Male,Working professional,Finance,1 Hr,6 LPA,Full-Time,Large Enterprise,Married,Rural,AWS Certified Solutions Architect,PhD,"₹20,000 - ₹50,000",Multiple Allowances,Compensatory Off (No extra pay),125000 Rs
8134,29,Female,Intermediate,IT,10 Hr,19 LPA,Hybrid,Government Organization,Single,Metro,Oracle Certified Java Programmer,Diploma,No Bonus,Multiple Allowances,No Overtime,33000 Rs
8135,42,Male,Working professional,IT,8 Hr,28 LPA,Remote,Large Enterprise,Single,Metro,CFA (Chartered Financial Analyst),Professional Certification,No Bonus,None,Compensatory Off (No extra pay),119000 Rs
8136,45,Female,Fresher,Finance,9 Hr,6 LPA,Hybrid,Non-Profit / NGO,Married,Metro,Microsoft Azure Fundamentals,High School,"₹20,000 - ₹50,000",None,Compensatory Off (No extra pay),121000 Rs
8137,31,Male,Working professional,IT,3 Hr,28 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Rural,CFA (Chartered Financial Analyst),Diploma,"₹5,000 - ₹20,000",Internet Allowance,₹200/hour,25000 Rs
8138,38,Male,Working professional,IT,9 Hr,14 LPA,Full-Time,Product-based Company,Single,Metro,AWS Certified Solutions Architect,Master's Degree,"₹20,000 - ₹50,000",None,Fixed Monthly Overtime Bonus,97000 Rs
8139,61,Female,Experienced,CA,8 Hr,25 LPA,Remote,Product-based Company,Married,Rural,Lean Six Sigma,Bachelor's Degree,No Bonus,Travel Allowance,₹200/hour,55000 Rs
8140,41,Male,Experienced,CA,3 Hr,22 LPA,Hybrid,Big MNC (Multinational Corporation),Married,Rural,PMP (Project Management Professional),Bachelor's Degree,No Bonus,Internet Allowance,Compensatory Off (No extra pay),123000 Rs
8141,59,Female,Intermediate,CA,7 Hr,12 LPA,Full-Time,Startup (early-stage),Single,Metro,TensorFlow Developer Certificate,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,39000 Rs
8142,29,Female,Intermediate,CA,4 Hr,10 LPA,Hybrid,Startup (early-stage),Single,City,Oracle Certified Java Programmer,Master's Degree,"₹20,000 - ₹50,000",Company Car,No Overtime,51000 Rs
8143,49,Female,Intermediate,IT,7 Hr,18 LPA,Full-Time,Contract / Temporary Employment,Married,Metro,Microsoft Azure Fundamentals,Professional Certification,No Bonus,None,₹100/hour,37000 Rs
8144,33,Male,Intermediate,IT,3 Hr,12 LPA,Full-Time,Government Organization,Married,Rural,PMP (Project Management Professional),Master's Degree,No Bonus,Multiple Allowances,₹200/hour,51000 Rs
8145,43,Female,Fresher,CA,9 Hr,24 LPA,Remote,Scale-up (growing startup),Single,City,PMP (Project Management Professional),PhD,No Bonus,Internet Allowance,Fixed Monthly Overtime Bonus,93000 Rs
8146,43,Female,Working professional,Digital marketing,9 Hr,22 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Metro,Lean Six Sigma,PhD,No Bonus,Food Allowance,Fixed Monthly Overtime Bonus,111000 Rs
8147,58,Male,Working professional,Finance,1 Hr,24 LPA,Full-Time,Outsourcing / Service-based Company,Divorced,City,AWS Certified Solutions Architect,Bachelor's Degree,"₹5,000 - ₹20,000",Food Allowance,Fixed Monthly Overtime Bonus,109000 Rs
8148,27,Female,Working professional,Digital marketing,9 Hr,18 LPA,Remote,Contract / Temporary Employment,Married,City,Lean Six Sigma,Master's Degree,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,45000 Rs
8149,63,Male,Working professional,IT,4 Hr,17 LPA,Remote,Mid-sized Company,Married,City,PMP (Project Management Professional),Master's Degree,"₹20,000 - ₹50,000",Housing Allowance,₹300/hour,135000 Rs
8150,29,Female,Working professional,Digital marketing,10 Hr,9 LPA,Hybrid,Mid-sized Company,Divorced,City,TensorFlow Developer Certificate,High School,"₹20,000 - ₹50,000",Multiple Allowances,Fixed Monthly Overtime Bonus,99000 Rs
8151,64,Male,Experienced,Digital marketing,5 Hr,22 LPA,Hybrid,Mid-sized Company,Divorced,City,PMP (Project Management Professional),Master's Degree,No Bonus,Housing Allowance,Compensatory Off (No extra pay),67000 Rs
8152,18,Male,Intermediate,CA,9 Hr,5 LPA,Remote,Consultancy Firm,Single,Rural,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",None,₹300/hour,141000 Rs
8153,64,Male,Fresher,IT,7 Hr,17 LPA,Remote,Startup (early-stage),Married,City,CFA (Chartered Financial Analyst),High School,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,57000 Rs
8154,38,Female,Intermediate,Finance,3 Hr,25 LPA,Hybrid,Non-Profit / NGO,Married,Rural,Certified Data Scientist,Bachelor's Degree,"₹5,000 - ₹20,000",Internet Allowance,Compensatory Off (No extra pay),31000 Rs
8155,70,Male,Intermediate,CA,7 Hr,24 LPA,Hybrid,Non-Profit / NGO,Married,City,Microsoft Azure Fundamentals,Diploma,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,45000 Rs
8156,69,Female,Fresher,Digital marketing,8 Hr,8 LPA,Hybrid,Contract / Temporary Employment,Married,Metro,CompTIA Security+,Master's Degree,"₹5,000 - ₹20,000",Medical Allowance,Compensatory Off (No extra pay),147000 Rs
8157,34,Female,Experienced,IT,1 Hr,7 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Metro,Certified Data Scientist,PhD,"₹20,000 - ₹50,000",Multiple Allowances,₹200/hour,77000 Rs
8158,35,Female,Fresher,IT,6 Hr,18 LPA,Remote,Consultancy Firm,Divorced,Rural,TensorFlow Developer Certificate,PhD,"₹5,000 - ₹20,000",None,Fixed Monthly Overtime Bonus,35000 Rs
8159,24,Male,Working professional,Finance,9 Hr,18 LPA,Hybrid,Small Business / Local Firm,Married,Rural,TensorFlow Developer Certificate,PhD,"₹5,000 - ₹20,000",Food Allowance,₹100/hour,71000 Rs
8160,60,Male,Experienced,Digital marketing,1 Hr,28 LPA,Hybrid,Large Enterprise,Divorced,Metro,Cisco CCNA,High School,"₹5,000 - ₹20,000",Travel Allowance,No Overtime,25000 Rs
8161,40,Male,Working professional,CA,10 Hr,11 LPA,Remote,Outsourcing / Service-based Company,Single,City,TensorFlow Developer Certificate,Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,Compensatory Off (No extra pay),127000 Rs
8162,46,Female,Working professional,Finance,4 Hr,26 LPA,Hybrid,Large Enterprise,Single,Metro,Lean Six Sigma,High School,"₹5,000 - ₹20,000",Internet Allowance,₹100/hour,81000 Rs
8163,46,Female,Fresher,Finance,5 Hr,22 LPA,Hybrid,Big MNC (Multinational Corporation),Single,Metro,PMP (Project Management Professional),Master's Degree,No Bonus,None,Fixed Monthly Overtime Bonus,45000 Rs
8164,61,Female,Experienced,IT,10 Hr,7 LPA,Full-Time,Startup (early-stage),Single,Rural,TensorFlow Developer Certificate,Diploma,No Bonus,Housing Allowance,No Overtime,97000 Rs
8165,63,Female,Intermediate,CA,5 Hr,14 LPA,Remote,Scale-up (growing startup),Single,Metro,Lean Six Sigma,Bachelor's Degree,No Bonus,Company Car,₹100/hour,139000 Rs
8166,37,Female,Fresher,Digital marketing,8 Hr,10 LPA,Hybrid,Mid-sized Company,Divorced,Metro,AWS Certified Solutions Architect,Master's Degree,"₹20,000 - ₹50,000",Travel Allowance,Compensatory Off (No extra pay),57000 Rs
8167,34,Female,Working professional,Finance,1 Hr,29 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Metro,TensorFlow Developer Certificate,Professional Certification,"₹5,000 - ₹20,000",Food Allowance,No Overtime,135000 Rs
8168,39,Male,Working professional,IT,10 Hr,7 LPA,Hybrid,Government Organization,Divorced,City,PMP (Project Management Professional),Master's Degree,No Bonus,Housing Allowance,₹200/hour,147000 Rs
8169,67,Male,Experienced,Finance,9 Hr,17 LPA,Full-Time,Large Enterprise,Single,Rural,Lean Six Sigma,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,₹300/hour,61000 Rs
8170,30,Female,Experienced,Finance,3 Hr,14 LPA,Full-Time,Startup (early-stage),Divorced,City,Certified Data Scientist,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,Fixed Monthly Overtime Bonus,65000 Rs
8171,31,Female,Fresher,CA,7 Hr,13 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,Rural,CFA (Chartered Financial Analyst),PhD,No Bonus,Company Car,₹300/hour,29000 Rs
8172,42,Male,Working professional,CA,7 Hr,8 LPA,Hybrid,Large Enterprise,Divorced,City,PMP (Project Management Professional),Professional Certification,"₹5,000 - ₹20,000",None,No Overtime,121000 Rs
8173,35,Female,Experienced,Digital marketing,1 Hr,16 LPA,Hybrid,Product-based Company,Single,Rural,Google Cloud Professional Engineer,PhD,No Bonus,Food Allowance,No Overtime,35000 Rs
8174,60,Male,Experienced,Finance,2 Hr,30 LPA,Remote,Scale-up (growing startup),Divorced,City,PMP (Project Management Professional),PhD,No Bonus,Food Allowance,₹100/hour,105000 Rs
8175,58,Male,Intermediate,Finance,7 Hr,22 LPA,Full-Time,Consultancy Firm,Married,Rural,TensorFlow Developer Certificate,High School,No Bonus,Housing Allowance,No Overtime,127000 Rs
8176,62,Female,Experienced,IT,1 Hr,14 LPA,Remote,Non-Profit / NGO,Married,City,PMP (Project Management Professional),Master's Degree,"₹20,000 - ₹50,000",Food Allowance,No Overtime,141000 Rs
8177,69,Female,Intermediate,Finance,8 Hr,15 LPA,Remote,Freelancing / Self-employed,Married,Rural,Oracle Certified Java Programmer,High School,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,63000 Rs
8178,28,Female,Working professional,IT,6 Hr,12 LPA,Remote,Startup (early-stage),Single,Rural,Microsoft Azure Fundamentals,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,131000 Rs
8179,48,Male,Intermediate,CA,7 Hr,12 LPA,Remote,Contract / Temporary Employment,Single,City,Google Cloud Professional Engineer,PhD,"₹20,000 - ₹50,000",Internet Allowance,Compensatory Off (No extra pay),79000 Rs
8180,39,Male,Fresher,Finance,7 Hr,25 LPA,Full-Time,Product-based Company,Divorced,Rural,Cisco CCNA,PhD,"₹5,000 - ₹20,000",None,₹300/hour,79000 Rs
8181,28,Male,Intermediate,CA,6 Hr,21 LPA,Full-Time,Contract / Temporary Employment,Divorced,Rural,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",Housing Allowance,₹300/hour,65000 Rs
8182,47,Male,Working professional,IT,2 Hr,27 LPA,Hybrid,Product-based Company,Single,Metro,AWS Certified Solutions Architect,Professional Certification,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,147000 Rs
8183,20,Female,Fresher,IT,9 Hr,30 LPA,Full-Time,Consultancy Firm,Single,Rural,Lean Six Sigma,Master's Degree,"₹5,000 - ₹20,000",Multiple Allowances,₹100/hour,129000 Rs
8184,27,Female,Working professional,CA,2 Hr,7 LPA,Remote,Mid-sized Company,Single,Metro,Certified Data Scientist,PhD,"₹20,000 - ₹50,000",Housing Allowance,₹200/hour,129000 Rs
8185,27,Female,Experienced,CA,8 Hr,25 LPA,Full-Time,Mid-sized Company,Single,Metro,AWS Certified Solutions Architect,High School,No Bonus,Multiple Allowances,₹200/hour,57000 Rs
8186,40,Male,Fresher,CA,5 Hr,28 LPA,Remote,Contract / Temporary Employment,Divorced,Metro,Cisco CCNA,Bachelor's Degree,"₹20,000 - ₹50,000",None,₹300/hour,55000 Rs
8187,64,Female,Working professional,Digital marketing,3 Hr,28 LPA,Hybrid,Large Enterprise,Married,City,TensorFlow Developer Certificate,Diploma,No Bonus,Housing Allowance,Compensatory Off (No extra pay),37000 Rs
8188,61,Female,Experienced,Digital marketing,10 Hr,9 LPA,Hybrid,Scale-up (growing startup),Married,Metro,AWS Certified Solutions Architect,PhD,"₹5,000 - ₹20,000",Medical Allowance,₹300/hour,47000 Rs
8189,26,Female,Working professional,CA,9 Hr,5 LPA,Full-Time,Outsourcing / Service-based Company,Single,Rural,CompTIA Security+,Master's Degree,"₹5,000 - ₹20,000",Internet Allowance,Compensatory Off (No extra pay),145000 Rs
8190,42,Male,Working professional,IT,4 Hr,8 LPA,Full-Time,Product-based Company,Married,City,PMP (Project Management Professional),Bachelor's Degree,No Bonus,Internet Allowance,₹100/hour,121000 Rs
8191,39,Male,Intermediate,Digital marketing,3 Hr,9 LPA,Remote,Product-based Company,Married,City,CompTIA Security+,Bachelor's Degree,No Bonus,None,₹300/hour,55000 Rs
8192,51,Female,Intermediate,CA,1 Hr,5 LPA,Full-Time,Big MNC (Multinational Corporation),Single,Rural,PMP (Project Management Professional),PhD,"₹5,000 - ₹20,000",Internet Allowance,Compensatory Off (No extra pay),69000 Rs
8193,25,Female,Experienced,CA,7 Hr,27 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,City,Cisco CCNA,High School,"₹5,000 - ₹20,000",Food Allowance,₹300/hour,75000 Rs
8194,39,Male,Fresher,IT,5 Hr,21 LPA,Remote,Government Organization,Divorced,Metro,Certified Data Scientist,Master's Degree,No Bonus,Travel Allowance,Compensatory Off (No extra pay),53000 Rs
8195,35,Female,Fresher,Finance,10 Hr,6 LPA,Remote,Government Organization,Divorced,Rural,PMP (Project Management Professional),Diploma,No Bonus,Housing Allowance,Compensatory Off (No extra pay),61000 Rs
8196,35,Male,Intermediate,CA,6 Hr,20 LPA,Remote,Outsourcing / Service-based Company,Single,Rural,Microsoft Azure Fundamentals,High School,No Bonus,Travel Allowance,No Overtime,33000 Rs
8197,39,Male,Experienced,Digital marketing,9 Hr,24 LPA,Full-Time,Product-based Company,Married,Rural,CompTIA Security+,Professional Certification,"₹5,000 - ₹20,000",Internet Allowance,No Overtime,117000 Rs
8198,45,Male,Fresher,Digital marketing,8 Hr,19 LPA,Remote,Contract / Temporary Employment,Single,Rural,PMP (Project Management Professional),Diploma,"₹20,000 - ₹50,000",Internet Allowance,Compensatory Off (No extra pay),149000 Rs
8199,49,Male,Working professional,CA,9 Hr,23 LPA,Full-Time,Freelancing / Self-employed,Married,Rural,CFA (Chartered Financial Analyst),Bachelor's Degree,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,63000 Rs
8200,28,Female,Working professional,Finance,9 Hr,9 LPA,Hybrid,Contract / Temporary Employment,Divorced,Rural,TensorFlow Developer Certificate,PhD,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,35000 Rs
8201,28,Male,Intermediate,CA,5 Hr,20 LPA,Hybrid,Startup (early-stage),Married,Metro,Cisco CCNA,Diploma,No Bonus,Medical Allowance,₹300/hour,73000 Rs
8202,46,Male,Experienced,IT,4 Hr,26 LPA,Full-Time,Large Enterprise,Single,City,Oracle Certified Java Programmer,Professional Certification,"₹20,000 - ₹50,000",Travel Allowance,₹300/hour,75000 Rs
8203,42,Male,Intermediate,Finance,9 Hr,11 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,City,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",Internet Allowance,No Overtime,121000 Rs
8204,22,Female,Working professional,CA,6 Hr,13 LPA,Full-Time,Outsourcing / Service-based Company,Single,Metro,TensorFlow Developer Certificate,Professional Certification,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,129000 Rs
8205,47,Male,Experienced,Digital marketing,8 Hr,23 LPA,Hybrid,Contract / Temporary Employment,Single,Metro,Microsoft Azure Fundamentals,Diploma,"₹20,000 - ₹50,000",Travel Allowance,₹300/hour,133000 Rs
8206,22,Male,Intermediate,Finance,7 Hr,20 LPA,Full-Time,Product-based Company,Divorced,City,Microsoft Azure Fundamentals,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,73000 Rs
8207,63,Female,Experienced,IT,8 Hr,21 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,City,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,137000 Rs
8208,52,Male,Intermediate,Finance,8 Hr,13 LPA,Hybrid,Government Organization,Single,Metro,PMP (Project Management Professional),Bachelor's Degree,"₹5,000 - ₹20,000",Food Allowance,Compensatory Off (No extra pay),71000 Rs
8209,36,Male,Fresher,Finance,3 Hr,13 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,Certified Data Scientist,Master's Degree,"₹20,000 - ₹50,000",Internet Allowance,₹100/hour,117000 Rs
8210,20,Male,Working professional,Digital marketing,9 Hr,11 LPA,Remote,Consultancy Firm,Single,Metro,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,91000 Rs
8211,56,Female,Intermediate,Digital marketing,6 Hr,17 LPA,Full-Time,Consultancy Firm,Divorced,City,CFA (Chartered Financial Analyst),Professional Certification,No Bonus,None,₹100/hour,107000 Rs
8212,60,Female,Fresher,Digital marketing,8 Hr,6 LPA,Hybrid,Startup (early-stage),Single,Metro,Lean Six Sigma,Bachelor's Degree,"₹20,000 - ₹50,000",None,₹100/hour,113000 Rs
8213,57,Male,Working professional,CA,5 Hr,17 LPA,Full-Time,Mid-sized Company,Divorced,Metro,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",Multiple Allowances,No Overtime,135000 Rs
